Place Name;Place Name normalised;Place Name unique; Place Name unique sorted;Place Name unique manually
DeÅ¿erteurs;Deserteurs;America;Marien-In-;Oruwherra
Santa Cruz;Santa Cruz;Port Egmont's;Marquesas;OsnabruckEyland
Madera;Madera;Südals Nordpol;Marseille;Ost-Bay
Fun-;Fun-;Spitzbergen;Marvayles of Inde;Osterinsel
chal;chal;Cap der guten Hofnung;Maschicko;Ostindien
Funchal;Funchal;Inseln des Glücks;Maschiko;ostindischen Inseln
Eng- land;England;Isles de fortune;Matavaä-;Ost und West-Indien
Barbarey;Barbarey;Isle ronde;Matavai;O-Taha
Levante;Levante;gros Ventre-Bay;Matavai-Bay;O-Tahiti
St. Clara;St. Clara;Timor;Matavai-Fluss;o-Whai-urua
Madera;Madera;Insel-Bay;Matavai-Flusses;O-Wharre
Madera;Madera;Vorgebirge der guten Hoffnung;Matogrosso;pacifischen Oceans
Eng- land;England;Süd-See-Inseln;Mauretanien;Palliser
Madera;Madera;Färroer-Inseln;Mauritius;Palma
Madera;Madera;Cap West;Mauritius-Insel;Panama
Funchal;Funchal;südliche Ocean;Maurua;Paparra
Maxico;Maxico;Dusky-Bay;Maxico;Paraguay
MaÅ¿chiko;Maschiko;Dusky Bay;Mayo;Paris
Funchal;Funchal;Pickersgill;Mexico;Parnassus
Cal-;Cal-;Neu Seeland;Middelburgh;Parre
hetta;hetta;Westindien;mittelländische Meer;Persien
Maxico;Maxico;Seeland;mittelländischen und persischen See;Peru
San Vincente;San Vincente;Thames;Molukkischen Inseln;Philippinischen Inseln
Funchal;Funchal;Themse;Mopiha;Pic de la Boudeuse
Greenwich;Greenwich;Point five finger;Motu Aro;Pickersgill
Cal- hetta;Calhetta;Duck-Cove;Motu-Aro;Pickersgill-Haven
Camara de Lobos;Camara de Lobos;Endten-Bucht;Motuh;Pitcairns Insel
Ribeira braba;Ribeira braba;Indian-Island;N. Seeland;Plymouth
Ponta de Sol;Ponta de Sol;Indianer-Insel;Neu-;Plymouth-Haven
Funchal;Funchal;Taheiti;Neu Seeland;Point five finger
MaÅ¿chicko;Maschicko;O-Taheiti;Neu-1773. October. Seeland;Point Jackson
San Vincente;San Vincente;Tamai-poe-namu;Neu-Albion;Point Venus
Santa Cruz;Santa Cruz;DuskyBay;Neu-Britannien;Point-Hicks
MaÅ¿chiko;Maschiko;Cascade Cove;Neu-Brittannien;PointVenus
Porto Santo;Porto Santo;Cascaden-Bucht;Neu-Caledonien;Point-Venus
Salvages;Salvages;Anker-Insel;Neuen-Hebriden;Poldyre
Ilhas deÅ¿ertas;Ilhas desertas;Luncheon-cove;NeuGuinea;Pondichery
Madera;Madera;Berings-Eyland;Neu-Guinea;Ponta de Sol
LiÅ¿Å¿abon;Lissabon;Kamtschatka;Neuholland;Port Egmont's
Funchal;Funchal;van Diemens-Land;Neu-Holland;Port Surville
Coimbra;Coimbra;Seehund-Inseln;Neu-Irrland;Port-Egmont
Portugal;Portugal;Five-Finger-Land;NeuSeeland;Portland-Eyland
Madera;Madera;NeuSeeland;Neu-Seeland;Porto-Praya
Funchal;Funchal;Indian-Eyland;Neu-Seelands;Porto-Santo
Madera;Madera;Cascade-Bucht;Neu-York;Portsmouth
Madera;Madera;Pickersgill-Haven;Niewlandt;Portugal
Funchal;Funchal;Long-Eyland;Nord-Amerika;Preussen
Madera;Madera;blauen Bergen;Normandie;Promontorium trileucum
Val;Val;Wet-Jacket-arm;Norwegen;Pylstaerts-Eyland
DerbyÅ¿hire;Derbyshire;Charlotten-Sunde;nungsund Horn-Eylanden;Quiros
AÅ¿cenÅ¿ion;Ascension;Charlotten-Sund;O-;Raietea
Madera;Madera;Cap Foul-Wind;O-Aetipieha;Resolution-Eyland
Madera;Madera;Rocks point;O-Aitepieha;Rheins
Portugal;Portugal;Cap Farewell;O-Hamane;Ribeira braba
Candia;Candia;Kerguelens Inseln;OneTree-hill;Ribeira grande
London;London;Cap Stephens;One-Tree-hill;Robben-Eyland
OÅ¿t- und WeÅ¿t-Indien;Ostund West-Indien;mittelländischen und persischen See;O-Pahutu;Rocks point
Nord-Amerika;Nord-Amerika;westindischen Inseln;OParre;Rom
BraÅ¿ilien;Brasilien;Strasse von Malacca;O-Parre;Rondebosch
Europa;Europa;chinesischen See;Opoa;Rorotoa
Ma- dera;Madera;Motu Aro;ORaietea;Röst
Madera;Madera;Schip-Cove;O-Raietea;rothen See
Salvages;Salvages;Adventure-Bay;Oranien;Rotterdam
Ilhas deÅ¿ertas;Ilhas desertas;Friedrich Henrichs-Bay;Orimatarra;Russland
Gothenburg;Gothenburg;Marien-In-;Ortiguera;Rüsten
Neu-York;Neu-York;sel;Oruwherra;S. Carls Insel
Amerika;Amerika;Schoutensund Van der LindsEylande;OsnabruckEyland;S. Jago
Africa;Africa;Feuer-Bay;Ost-Bay;S. Lorenzo
Madera;Madera;Point-Hicks;Oster-Eiland;Sagittaria
VorgebuÍ¤rge der guten Hofnung;Vorgebürge der guten Hofnung;van Diemens-;OsterEyland;Saldanha-Bay
Palma;Palma;Land;Oster-Eyland;Salomons-Inseln
